Pro,Con,Judges,Votes,Result
Thomas S. Wootton DS,Regis OG,"Vikas Sood																																		Roland Au-Yeung																																		Margaret Iuni","Con																												Pro																												Pro","2-1																															PRO"
Walt Whitman BW,Dalton YS,"Zach Perry																																		Dennis O'Donnell																																		Megan Spellacy","Pro																												Pro																												Con","2-1																															PRO"
Lambert MB,Lynbrook BS,"Bob Dolan																																		Shruti Punnachalil																																		Amit Mehta","Pro																												Pro																												Pro","3-0																															PRO"
Poolesville HL,Bronx Science KW,"Kegan Ferguson																																		Dhritiman Banerjee																																		Grace Barmmer","Con																												Con																												Con","3-0																															CON"
Poly Prep Country Day TS,Regis GM,"Peter Paik																																		jessica morrow																																		Daniel Padwa","Con																												Pro																												Pro","2-1																															PRO"
Winston Churchill HT,Princeton CL,"Steele Musgrove																																		Samara Himmelfarb																																		Matt Mohn","Con																												Con																												Pro","2-1																															CON"
Winston Churchill HM,Walt Whitman DP,"Sydney Dillon																																		Laura Kane																																		Ben Lemley","Con																												Pro																												Con","2-1																															CON"
Richard Montgomery GS,Walt Whitman YD,"rachael winfree																																		Sudipto bose																																		Chris Sheppard","Pro																												Pro																												Pro","3-0																															PRO"
Interlake KS,Lexington FS,"Kevin Xu																																		Sienna Horvath																																		Stuti Gupta","Pro																												Pro																												Pro","3-0																															PRO"
Walt Whitman HS,Wadsworth City PK,"Brent Halliburton																																		Daisy Zhao																																		John Latella","Con																												Pro																												Con","2-1																															CON"
Walt Whitman LS,Richard Montgomery SX,"Rose Oh																																		Mark Kivimaki																																		Martin Klein","Pro																												Pro																												Pro","3-0																															PRO"
Stuyvesant MG,Cary CB,"Evan Streams																																		Mark Raj																																		Marie Lowry","Con																												Pro																												Con","2-1																															CON"
Regis FJ,Bethesda Chevy Chase BK,"Ke Ren																																		Ray Smith																																		Teresa Chien","Pro																												Pro																												Pro","3-0																															PRO"
Flintridge Prep YC,Winston Churchill MZ,"Katherine Dannemiller																																		Joseph Garza																																		Sophie Poritzky","Pro																												Pro																												Pro","3-0																															PRO"
Riverdale Country GM,Bronx Science ZS,"Charly Ying																																		Jackie Zheng																																		Sierra Houegban","Pro																												Pro																												Pro","3-0																															PRO"
Princeton BS,Princeton MB,,Princeton BS advances,Princeton BS advances
